0.00,5.00,5.00,18.00,3.00,10.00,0.00,2.00,2.00,2.00,1.00,0.00,0.00,0.00,2.00,1.00,3.00,0.00,2.00
0.00,5.00,5.00,18.00,3.00,10.00,0.00,2.00,1.00,2.00,1.00,0.00,1.00,0.00,2.00,1.00,3.00,0.00,2.00
0.00,5.00,5.00,16.00,2.00,10.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,2.00,0.00,1.00,1.00,1.00
1.00,5.00,4.68,16.00,4.00,18.00,0.00,2.00,2.00,2.00,0.00,0.00,1.00,0.00,0.00,1.00,3.00,1.00,2.00
0.00,4.75,5.00,16.00,1.00,10.00,0.00,2.00,1.00,1.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,1.00,1.00
0.00,5.00,5.00,18.00,2.00,18.00,0.00,2.00,2.00,2.00,1.00,0.00,1.00,0.00,2.00,0.00,2.00,0.00,2.00
0.00,5.00,5.00,8.00,2.00,8.00,0.00,2.00,2.00,2.00,0.00,0.00,0.00,0.00,2.00,0.00,3.00,0.00,2.00
1.00,5.00,5.00,16.00,4.00,16.00,0.00,1.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00
0.00,5.00,5.00,18.00,3.00,17.00,3.00,2.00,1.00,2.00,1.00,0.00,1.00,0.00,1.00,1.00,3.00,0.00,2.00
1.00,5.00,5.00,13.00,3.00,10.00,0.00,2.00,2.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00,3.00,0.00,2.00
0.00,5.00,4.80,13.00,3.00,8.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,1.00,0.00
0.00,5.00,5.00,17.00,4.00,17.00,4.00,2.00,1.00,2.00,1.00,0.00,0.00,0.00,2.00,1.00,1.00,0.00,2.00
1.00,5.00,4.25,11.00,2.00,16.00,4.00,0.00,0.00,2.00,0.00,1.00,1.00,0.00,1.00,0.00,2.00,0.00,0.00
1.00,5.00,4.75,12.00,4.00,12.00,0.00,1.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00
0.00,5.00,5.00,10.00,3.00,8.00,0.00,2.00,3.00,2.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00,0.00,2.00
1.00,5.00,4.92,12.00,2.00,10.00,1.00,1.00,2.00,1.00,0.00,0.00,1.00,1.00,2.00,0.00,2.00,0.00,1.00
0.00,5.00,5.00,13.00,4.00,10.00,0.00,2.00,3.00,2.00,1.00,0.00,1.00,0.00,2.00,1.00,2.00,0.00,2.00
1.00,5.00,5.00,14.00,4.00,16.00,0.00,0.00,0.00,2.00,0.00,1.00,0.00,0.00,2.00,0.00,2.00,0.00,0.00
1.00,5.00,5.00,16.00,3.00,16.00,3.00,2.00,2.00,2.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,2.00
0.00,5.00,5.00,18.00,4.00,12.00,0.00,2.00,1.00,2.00,1.00,0.00,1.00,0.00,2.00,1.00,0.00,0.00,2.00
0.00,5.00,5.00,25.00,4.00,15.00,0.00,1.00,0.00,2.00,1.00,0.00,1.00,0.00,2.00,1.00,1.00,1.00,1.00
0.00,5.00,5.00,16.00,4.00,12.00,3.00,2.00,1.00,2.00,0.00,0.00,1.00,0.00,2.00,1.00,1.00,0.00,2.00
1.00,4.25,4.00,16.00,4.00,12.00,0.00,0.00,0.00,2.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00
1.00,5.00,5.00,15.00,4.00,10.00,1.00,1.00,1.00,2.00,0.00,0.00,0.00,0.00,2.00,1.00,4.00,0.00,1.00
0.00,5.00,5.00,18.00,3.00,10.00,0.00,2.00,2.00,2.00,1.00,0.00,0.00,0.00,2.00,1.00,3.00,0.00,2.00
0.00,5.00,4.60,11.00,2.00,12.00,0.00,1.00,0.00,2.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00
0.00,5.00,5.00,17.00,4.00,16.00,4.00,2.00,2.00,2.00,1.00,0.00,1.00,0.00,2.00,0.00,3.00,0.00,2.00
0.00,3.94,5.00,16.00,2.00,16.00,0.00,1.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,1.00
0.00,5.00,4.92,10.00,2.00,5.00,0.00,1.00,1.00,2.00,1.00,0.00,0.00,0.00,2.00,0.00,1.00,1.00,1.00
0.00,5.00,5.00,9.00,2.00,7.00,0.00,2.00,2.00,2.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,2.00
0.00,4.94,4.50,10.00,1.00,8.00,0.00,2.00,2.00,2.00,1.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,2.00
1.00,5.00,4.58,10.00,1.00,12.00,0.00,2.00,1.00,2.00,1.00,0.00,1.00,0.00,1.00,0.00,4.00,0.00,1.00
0.00,5.00,4.42,12.00,2.00,16.00,0.00,1.00,1.00,2.00,0.00,0.00,1.00,0.00,1.00,0.00,3.00,1.00,0.00
1.00,5.00,5.00,12.00,2.00,16.00,0.00,2.00,1.00,2.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,2.00
1.00,4.88,4.50,16.00,4.00,12.00,0.00,0.00,0.00,2.00,0.00,0.00,1.00,0.00,1.00,0.00,2.00,0.00,1.00
1.00,5.00,5.00,0.00,1.00,0.00,0.00,2.00,1.00,2.00,1.00,0.00,1.00,0.00,2.00,1.00,2.00,0.00,2.00
0.00,5.00,5.00,16.00,3.00,12.00,1.00,2.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,1.00,3.00,0.00,2.00
0.00,5.00,5.00,14.00,3.00,12.00,4.00,2.00,2.00,2.00,1.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,2.00
1.00,5.00,5.00,10.00,3.00,10.00,0.00,2.00,2.00,2.00,1.00,0.00,0.00,0.00,0.00,1.00,3.00,0.00,2.00
1.00,5.00,4.40,8.00,2.00,5.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,5.00,4.90,17.00,4.00,16.00,4.00,1.00,1.00,2.00,1.00,0.00,1.00,0.00,2.00,1.00,1.00,0.00,1.00
